Ch#,Title,Act,Ω,RRP,CLS,SII,BIS,MRF,Words,CL-MoE,Fix_Priority,Tier,Ω_Computed,CLS_Gap,BIS_Gap,SII_Gap,MRF_Gap
1,The Sacred Mountain Revelation,I,106,87,85,90,84,95,5172,0.04,LOW,Omega Elite,106.27000000000001,-4.9177777777777862,-5.12222222222222,-2.315555555555548,5.62222222222222
2,Descent Into Baptism,I,105,83,79,93,90,78,5571,0.04,MED,Omega Elite,105.36200000000001,-10.917777777777786,0.87777777777777999,0.68444444444445196,-11.37777777777778
3,The Genocide Algorithm,I,108,93,99,92,90,88,5520,4.9000000000000002E-2,LOW,Omega Elite,108.423,9.0822222222222138,0.87777777777777999,-0.31555555555554804,-1.37777777777778
4,Pentagon December 1969,I,106,86,84,93,91,81,6206,0.04,LOW,Omega Elite,106.301,-5.9177777777777862,1.87777777777778,0.68444444444445196,-8.37777777777778
5,The Ghost Protocol,I,109,94,93,98,94,99,5587,0.04,LOW,Omega Elite,109.42199999999998,3.0822222222222138,4.87777777777778,5.684444444444452,9.62222222222222
6,Crucible Theorem,I,108,90,93,92,89,88,5569,0.04,LOW,Omega Elite,107.56099999999999,3.0822222222222138,-0.12222222222222001,-0.31555555555554804,-1.37777777777778
7,The Boulevard Theorem,I,109,95,99,94,87,99,5993,6.9000000000000006E-2,LOW,Omega Elite,108.98399999999999,9.0822222222222138,-2.12222222222222,1.684444444444452,9.62222222222222
8,Los Records Mienten,I,106.5,89,87.3,80.2,75.5,68,3596,0.02,MED,Omega Elite,102.871,-2.6177777777777891,-13.62222222222222,-12.115555555555545,-21.37777777777778
9,First Blood,I,108,90,91,95,87,93,5268,0.04,LOW,Omega Elite,107.679,1.0822222222222138,-2.12222222222222,2.684444444444452,3.62222222222222
10,The Pendejo Squad,I,108,90,91,95,87,93,5268,0.04,LOW,Omega Elite,107.679,1.0822222222222138,-2.12222222222222,2.684444444444452,3.62222222222222
11,Contact Contact,I,106,86,85,91,89,83,5189,0.04,LOW,Omega Elite,106.14500000000001,-4.9177777777777862,-0.12222222222222001,-1.315555555555548,-6.37777777777778
12,Red Truth Revolution,I,109,94,96,94,93,94,5747,4.2999999999999997E-2,LOW,Omega Elite,108.985,6.0822222222222138,3.87777777777778,1.684444444444452,4.62222222222222
